12,16,19.2,24
4,6,8,10,12,4,6,8,10,12
10,20
Douglas_fir-larch SS 6-10 10-9 14-3 18-2 22-1 6-10 10-9 14-3 18-2 21-2
Douglas_fir-larch #1 6-7 10-5 13-2 16-1 18-8 6-7 9-10 12-5 15-2 17-7
Douglas_fir-larch #2 6-6 9-9 12-4 15-1 17-6 6-3 9-2 11-8 14-2 16-6
Douglas_fir-larch #3 5-0 7-4 9-4 11-5 13-2 4-9 6-11 8-9 10-9 12-5
Hem-fir SS 6-6 10-2 13-5 17-2 20-10 6-6 10-2 13-5 17-2 20-10
Hem-fir #1 6-4 10-0 12-10 15-8 18-2 6-4 9-7 12-1 14-10 17-2
Hem-fir #2 6-1 9-6 12-2 14-10 17-3 6-1 9-1 11-5 14-0 16-3
Hem-fir #3 5-0 7-4 9-4 11-5 13-2 4-9 6-11 8-9 10-9 12-5
Southern_pine SS 6-9 10-7 14-0 17-10 21-8 6-9 10-7 14-0 17-10 21-8
Southern_pine #1 6-7 10-5 13-8 17-6 20-11 6-7 10-5 13-8 16-6 19-8
Southern_pine #2 6-6 10-2 13-2 15-9 18-5 6-6 9-7 12-5 14-10 17-5
Southern_pine #3 5-4 7-11 10-1 11-11 14-2 5-1 7-5 9-6 11-3 13-4
Spruce-pine-fir SS 6-4 10-0 13-2 16-9 20-5 6-4 10-0 13-2 16-9 19-8
Spruce-pine-fir #1 6-2 9-9 12-4 15-1 17-6 6-2 9-2 11-8 14-2 16-6
Spruce-pine-fir #2 6-2 9-9 12-4 15-1 17-6 6-2 9-2 11-8 14-2 16-6
Spruce-pine-fir #3 5-0 7-4 9-4 11-5 13-2 4-9 6-11 8-9 10-9 12-5
Douglas_fir-larch SS 6-3 9-10 12-11 16-6 19-6 6-3 9-10 12-11 15-10 18-4
Douglas_fir-larch #1 6-0 9-0 11-5 13-11 16-2 5-10 8-6 10-9 13-2 15-3
Douglas_fir-larch #2 5-9 8-5 10-8 13-1 15-2 5-5 7-11 10-1 12-4 14-3
Douglas_fir-larch #3 4-4 6-4 8-1 9-10 11-5 4-1 6-0 7-7 9-4 10-9
Hem-fir SS 5-11 9-3 12-2 15-7 18-11 5-11 9-3 12-2 15-7 18-0
Hem-fir #1 5-9 8-9 11-2 13-7 15-9 5-8 8-3 10-6 12-10 14-10
Hem-fir #2 5-6 8-4 10-6 12-10 14-11 5-4 7-10 9-11 12-1 14-1
Hem-fir #3 4-4 6-4 8-1 9-10 11-5 4-1 6-0 7-7 9-4 10-9
Southern_pine SS 6-1 9-7 12-8 16-2 19-8 6-1 9-7 12-8 16-2 19-8
Southern_pine #1 6-0 9-5 12-5 15-2 18-1 6-0 9-5 12-0 14-4 17-1
Southern_pine #2 5-11 8-10 11-5 13-7 16-0 5-10 8-4 10-9 12-10 15-1
Southern_pine #3 4-8 6-10 8-9 10-4 12-3 4-4 6-5 8-3 9-9 11-7
Spruce-pine-fir SS 5-9 9-1 11-11 15-3 18-1 5-9 9-1 11-11 14-8 17-1
Spruce-pine-fir #1 5-8 8-5 10-8 13-1 15-2 5-5 7-11 10-1 12-4 14-3
Spruce-pine-fir #2 5-8 8-5 10-8 13-1 15-2 5-5 7-11 10-1 12-4 14-3
Spruce-pine-fir #3 4-4 6-4 8-1 9-10 11-5 4-1 6-0 7-7 9-4 10-9
Douglas_fir-larch SS 5-10 9-3 12-2 15-4 17-9 5-10 9-3 11-10 14-5 16-9
Douglas_fir-larch #1 5-7 8-3 10-5 12-9 14-9 5-4 7-9 9-10 12-0 13-11
Douglas_fir-larch #2 5-3 7-8 9-9 11-11 13-10 5-0 7-3 9-2 11-3 13-0
Douglas_fir-larch #3 4-0 5-10 7-4 9-0 10-5 3-9 5-6 6-11 8-6 9-10
Hem-fir SS 5-6 8-8 11-6 14-8 17-4 5-6 8-8 11-6 14-2 15-5
Hem-fir #1 5-5 8-0 10-2 12-5 14-5 5-2 7-7 9-7 11-8 13-7
Hem-fir #2 5-2 7-7 9-7 11-9 13-7 4-11 7-2 9-1 11-1 12-10
Hem-fir #3 4-0 5-10 7-4 9-0 10-5 3-9 5-6 6-11 8-6 9-10
Southern_pine SS 5-9 9-1 11-11 15-3 18-6 5-9 9-1 11-11 15-3 18-6
Southern_pine #1 5-8 8-11 11-8 13-10 16-6 5-8 8-9 11-0 13-1 15-7
Southern_pine #2 5-6 8-1 10-5 12-5 14-7 5-4 7-7 9-10 11-9 13-9
Southern_pine #3 4-3 6-3 8-0 9-5 11-2 4-0 5-11 7-6 8-10 10-7
Spruce-pine-fir SS 5-5 8-6 11-3 14-3 16-6 5-5 8-6 11-0 13-5 15-7
Spruce-pine-fir #1 5-3 7-8 9-9 11-11 13-10 5-0 7-3 9-2 11-3 13-0
Spruce-pine-fir #2 5-3 7-8 9-9 11-11 13-10 5-0 7-3 9-2 11-3 13-0
Spruce-pine-fir #3 4-0 5-10 7-4 9-0 10-5 3-9 5-6 6-11 8-6 9-10
